wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1A,DA,LL#1,"Monday, 08/25",Welcome + Orientation,,Welcome & What to Expect,,
1A,DA,LL#2,"Wednesday, 08/27",The National Park Service,,SkillBuilder 1: Data Analytics Foundations & SkillBuilder 2: More Excel Functions,Milestone 2: YouTube Trending Analysis,"In this lab, we’ll dive into analyzing visitor data for the National Park Service! 🏞️ It’s going to be a lot of fun exploring trends and uncovering insights about some of the most beautiful places in the country."
1A,DA,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
1A,DA,LL#4,"Wednesday, 09/03",Story Circles,,,Career Milestone #1: Build Your Career Network Profiles,"In this lab, we will come together to share personal stories, listen to diverse perspectives, and build intercultural understanding in a supportive and safe environment. Don’t miss this unique opportunity to connect and grow! As a reminder, please make sure you show up on time, have your camera on, and are able to come off mute to fully participate."
1A,DA,LL#5,"Monday, 09/08",Fresh Monster,,SkillBuilder 3: Transforming Data,Milestone 3: SF Bart Ridership Analysis,"In this lab, our client is a company called Fresh Monster, known for creating safe, natural, and eco-friendly personal care products for kids. 🛁 We’ll get to work with their data to uncover insights and tackle real-world challenges—and we’ll get to meet Irena, the company’s co-founder!"
1A,DA,LL#6,"Wednesday, 09/10",Instacart Take-Home Challenge,,SkillBuilder 4: Summarizing Data,Milestone 4: DoorDash Delivery Analysis,"In this lab, our client is Instacart, a leading online grocery delivery service revolutionizing the way people shop for groceries. 🛒 We’ll work with a dataset inspired by a real take-home challenge that Instacart has given to prospective data analyst candidates. This is a fantastic opportunity to gain hands-on experience analyzing customer behavior, product trends, and delivery efficiencies—just like you might in a real-world role!"
1A,DA,LL#7,"Monday, 09/15",What is a Data Analyst,,SkillBuilder 5: Visualizing Data,Milestone 5: Winter Sports Interest Analysis,"In this lab, we’ll team up with the Coding for Data track to explore the world of data analytics and answer key questions about the role of a Data Analyst. We’ll discuss what data analysts do on a daily basis, the tools they use, and the types of projects they work on. We’ll also dive into salary expectations, job titles you might see, and the exciting career paths this field offers—from entry-level roles to leadership positions. This is a great opportunity to gain insights into what a future in data analytics could look like and ask any burning questions you might have about the field!"
1A,DA,LL#8,"Wednesday, 09/17",A/B Testing with Buzzfeed,,SkillBuilder 6: A/B Testing,Milestone 6: A/B Testing an Email Marketing Campaign & LevelUp Milestone: A/B Testing Warby Parker's Landing Page,"In this lab, we’ll dive into A/B Testing with data from BuzzFeed, the internet’s go-to source for viral quizzes, entertainment, and pop culture content. 🎉 A/B Testing can be a trickier topic, but this session is designed to give you additional practice with this powerful and widely used method in data analytics!"
1A,DA,LL#9,"Monday, 09/22",Your Future with AI,,SkillBuilder 7: Inside the World of AI,Milestone 7: AI and Your Future,"In this lab, we’ll explore Your Future with AI—reflect on what matters 💭, imagine future roles, and map the skills you’ll need to grow in an AI-powered world."
1A,DA,LL#10,"Wednesday, 09/24",XLOOKUP: Terracotta,,SkillBuilder 8: XLOOKUP,Milestone 8: Analyzing an ASICS Referral Campaign ,"In this lab, we’ll master XLOOKUP with data from Terracotta, a charming plant shop based in Boulder, CO, that specializes in unique greenery and artisan pots. 🪴 XLOOKUP is a powerful Excel function that can simplify finding and matching data, and this LiveLab is your chance to practice it hands-on!"
1A,DA,LL#11,"Monday, 09/29",LinkedIn Workshop,,,Career Milestone #2: Optimize Your LinkedIn Profile,"In this special lab—hosted by the wonderful Abby Samuelson, Director of Careers—we’ll focus on how to create or improve your LinkedIn profile to stand out in the job market and attract opportunities. We'll cover best practices for crafting a compelling headline, optimizing your profile for recruiter searches, showcasing your skills and projects, and building meaningful connections in your field. This session will be combined with students from other sections, so it’s a great chance to network and learn together!"
1A,DA,LL#12,"Wednesday, 10/01",Final Project Work,,Portfolio Project: Analyze Website Data for The Grammys 🎵 & Final Thoughts for Part 1,Portfolio Project: Analyzing Website Data with The Grammys,"In this lab, we'll wrap up the past six weeks by reflecting on everything you’ve accomplished and how far you’ve come! 🏆 This session is also dedicated to working on your portfolio project—whether you’re polishing your analysis, fine-tuning visuals, or putting on the final touches."
1A,DA,LL#1,"Wednesday, 10/15",,,,,
1A,DA,LL#2,"Monday, 10/20",,,,,
1A,DA,LL#3,"Wednesday, 10/22",,,,,
1A,DA,LL#4,"Monday, 10/27",,,,,
1A,DA,LL#5,"Wednesday, 10/29",,,,,
1A,DA,LL#6,"Monday, 11/03",,,,,
1A,DA,LL#7,"Wednesday, 11/05",,,,,
1A,DA,LL#8,"Monday, 11/10",,,,,
1A,DA,LL#9,"Wednesday, 11/12",,,,,
1A,DA,LL#10,"Monday, 11/17",,,,,
1A,DA,LL#11,"Wednesday, 11/19",,,,,
1A,DA,LL#12,"Monday, 11/24",,,,,
