wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,RT,LL#1,"Tuesday, 08/26",,,,,
1B,RT,LL#2,"Thursday, 08/28",,,,,
1B,RT,LL#3,"Tuesday, 09/02",,,,,
1B,RT,LL#4,"Thursday, 09/04",,,,,
1B,RT,LL#5,"Tuesday, 09/09",,,,,
1B,RT,LL#6,"Thursday, 09/11",,,,,
1B,RT,LL#7,"Tuesday, 09/16",,,,,
1B,RT,LL#8,"Thursday, 09/18",,,,,
1B,RT,LL#9,"Tuesday, 09/23",,,,,
1B,RT,LL#10,"Thursday, 09/25",,,,,
1B,RT,LL#11,"Tuesday, 09/30",,,,,
1B,RT,LL#12,"Thursday, 10/02",,,,,
1B,RT,LL#1,"Thursday, 10/16",,,,,
1B,RT,LL#2,"Tuesday, 10/21",,,,,
1B,RT,LL#3,"Thursday, 10/23",,,,,
1B,RT,LL#4,"Tuesday, 10/28",,,,,
1B,RT,LL#5,"Thursday, 10/30",,,,,
1B,RT,LL#6,"Tuesday, 11/04",,,,,
1B,RT,LL#7,"Thursday, 11/06",,,,,
1B,RT,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,
1B,RT,LL#9,"Thursday, 11/13",,,,,
1B,RT,LL#10,"Tuesday, 11/18",,,,,
1B,RT,LL#11,"Thursday, 11/20",,,,,
1B,RT,LL#12,"Tuesday, 11/25",,,,,
