wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2A,WD,LL#1,"Monday, 08/25",,,,,
2A,WD,LL#2,"Wednesday, 08/27",,,,,
2A,WD,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",,,,,
2A,WD,LL#4,"Wednesday, 09/03",,,,,
2A,WD,LL#5,"Monday, 09/08",,,,,
2A,WD,LL#6,"Wednesday, 09/10",,,,,
2A,WD,LL#7,"Monday, 09/15",,,,,
2A,WD,LL#8,"Wednesday, 09/17",,,,,
2A,WD,LL#9,"Monday, 09/22",,,,,
2A,WD,LL#10,"Wednesday, 09/24",,,,,
2A,WD,LL#11,"Monday, 09/29",,,,,
2A,WD,LL#12,"Wednesday, 10/01",,,,,
2A,WD,LL#1,"Monday, 10/06",,,,,
2A,WD,LL#2,"Wednesday, 10/08",,,,,
2A,WD,LL#3,"Monday, 10/13 SKIPPED FOR HOLIDAY!",,,,,
2A,WD,LL#4,"Wednesday, 10/15",,,,,
2A,WD,LL#5,"Monday, 10/20",,,,,
2A,WD,LL#6,"Wednesday, 10/22",,,,,
2A,WD,LL#7,"Monday, 10/27",,,,,
2A,WD,LL#8,"Wednesday, 10/29",,,,,
2A,WD,LL#9,"Monday, 11/03",,,,,
2A,WD,LL#10,"Wednesday, 11/05",,,,,
2A,WD,LL#11,"Monday, 11/10",,,,,
2A,WD,LL#12,"Wednesday, 11/12",,,,,
