wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2B,WD,LL#1,"Tuesday, 08/26",,,,,
2B,WD,LL#2,"Thursday, 08/28",,,,,
2B,WD,LL#3,"Tuesday, 09/02",,,,,
2B,WD,LL#4,"Thursday, 09/04",,,,,
2B,WD,LL#5,"Tuesday, 09/09",,,,,
2B,WD,LL#6,"Thursday, 09/11",,,,,
2B,WD,LL#7,"Tuesday, 09/16",,,,,
2B,WD,LL#8,"Thursday, 09/18",,,,,
2B,WD,LL#9,"Tuesday, 09/23",,,,,
2B,WD,LL#10,"Thursday, 09/25",,,,,
2B,WD,LL#11,"Tuesday, 09/30",,,,,
2B,WD,LL#12,"Thursday, 10/02",,,,,
2B,WD,LL#1,"Tuesday, 10/07",,,,,
2B,WD,LL#2,"Thursday, 10/09",,,,,
2B,WD,LL#3,"Tuesday, 10/14",,,,,
2B,WD,LL#4,"Thursday, 10/16",,,,,
2B,WD,LL#5,"Tuesday, 10/21",,,,,
2B,WD,LL#6,"Thursday, 10/23",,,,,
2B,WD,LL#7,"Tuesday, 10/28",,,,,
2B,WD,LL#8,"Thursday, 10/30",,,,,
2B,WD,LL#9,"Tuesday, 11/04",,,,,
2B,WD,LL#10,"Thursday, 11/06",,,,,
2B,WD,LL#11,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,
2B,WD,LL#12,"Thursday, 11/13",,,,,
