wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2C,WD,LL#1,"Wednesday, 08/27",,,,,
2C,WD,LL#2,"Friday, 08/29",,,,,
2C,WD,LL#3,"Wednesday, 09/03",,,,,
2C,WD,LL#4,"Friday, 09/05",,,,,
2C,WD,LL#5,"Wednesday, 09/10",,,,,
2C,WD,LL#6,"Friday, 09/12",,,,,
2C,WD,LL#7,"Wednesday, 09/17",,,,,
2C,WD,LL#8,"Friday, 09/19",,,,,
2C,WD,LL#9,"Wednesday, 09/24",,,,,
2C,WD,LL#10,"Friday, 09/26",,,,,
2C,WD,LL#11,"Wednesday, 10/01",,,,,
2C,WD,LL#12,"Friday, 10/03",,,,,
2C,WD,LL#1,"Wednesday, 10/08",,,,,
2C,WD,LL#2,"Friday, 10/10",,,,,
2C,WD,LL#3,"Wednesday, 10/15",,,,,
2C,WD,LL#4,"Friday, 10/17",,,,,
2C,WD,LL#5,"Wednesday, 10/22",,,,,
2C,WD,LL#6,"Friday, 10/24",,,,,
2C,WD,LL#7,"Wednesday, 10/29",,,,,
2C,WD,LL#8,"Friday, 10/31",,,,,
2C,WD,LL#9,"Wednesday, 11/05",,,,,
2C,WD,LL#10,"Friday, 11/07",,,,,
2C,WD,LL#11,"Wednesday, 11/12",,,,,
2C,WD,LL#12,"Friday, 11/14",,,,,
